applied_row_week,WALCL,WDTGAL,RRPONTSYD,net_liquidity,growth_26w_log,growth_13w_smooth,p_raw,p_applied,p_raw_source_week
2017-07-21,4476.903,189.282,144.731,4142.89,0.051807052028892006,0.050309115039782415,65.38461538461539,66.53846153846153,2017-07-14
2017-07-28,4465.284,183.534,103.311,4178.439,0.058061057839258,0.051203765829791,65.76923076923077,65.38461538461539,2017-07-21
2017-08-04,4466.846,165.407,119.334,4182.105,0.04930125753610333,0.051601080948361806,66.53846153846153,65.76923076923077,2017-07-28
2017-08-11,4469.083,139.553,103.95,4225.58,0.0433618018233091,0.05227641860139615,66.53846153846153,66.53846153846153,2017-08-04
2017-08-18,4462.871,96.029,92.84,4274.002,0.047587857843859625,0.052791129464483416,66.53846153846153,66.53846153846153,2017-08-11
2017-08-25,4463.837,67.93,169.793,4226.1140000000005,0.03943560976400979,0.05271934170424696,66.15384615384616,66.53846153846153,2017-08-18
2017-09-01,4452.36,66.877,146.086,4239.396999999999,0.02044007671151524,0.05039718564701423,63.46153846153846,66.15384615384616,2017-08-25
2017-09-08,4453.474,38.662,145.128,4269.684,0.020857111181656333,0.04772992623923727,61.92307692307692,63.46153846153846,2017-09-01
2017-09-15,4471.174,73.22,125.668,4272.286,0.012396623776380187,0.04540492428158378,59.61538461538461,61.92307692307692,2017-09-08
2017-09-22,4458.576,151.204,168.025,4139.347000000001,-0.008091883680914846,0.03935844300798981,55.38461538461539,59.61538461538461,2017-09-15
2017-09-29,4455.661,155.159,220.083,4080.4190000000003,-0.01598292546074855,0.03322169008744591,53.07692307692308,55.38461538461539,2017-09-22
2017-10-06,4460.422,154.619,178.738,4127.065,-0.021566248150052,0.026729193008167094,51.15384615384615,53.07692307692308,2017-09-29
2017-10-13,4459.415,155.307,129.805,4174.303,-0.02027645583266806,0.021333148875430773,49.23076923076923,51.15384615384615,2017-10-06
2017-10-20,4469.723,196.106,121.457,4152.16,0.0045724004388077,0.017699714137731984,48.46153846153846,49.23076923076923,2017-10-13
2017-10-27,4461.117,185.092,112.057,4163.968000000001,0.021113419226229484,0.01485758809057594,45.0,48.46153846153846,2017-10-20
2017-11-03,4455.887,181.764,87.165,4186.958,0.025590498897654322,0.013033683579926018,43.46153846153846,45.0,2017-10-27
2017-11-10,4458.552,160.437,74.546,4223.5689999999995,0.030197560943348984,0.012021049666082934,42.69230769230769,43.46153846153846,2017-11-03
2017-11-17,4448.289,148.165,35.038,4265.086,0.032897298099843424,0.010891006608850916,41.92307692307692,42.69230769230769,2017-11-10
